"Income_Group_10","Services","Goods","Food","Energy"
1,28.0406798638606,20.4918835364802,39.8490310324343,11.502529720186
2,28.3510548961572,20.6157787611987,40.8060401029498,9.97710187939495
3,30.35323862983,20.1359921395279,39.5260399110777,9.74134177771139
4,32.6485301015906,19.4591753792034,37.9372287501214,9.65267300530429
5,34.5291855059769,19.504746637962,35.5886485530583,10.1000968214466
6,37.8475989644,18.7193464229892,32.555865142477,10.54996000712
7,41.9582914040629,18.5035117767668,28.2393770729118,10.9670963353075
8,46.7104996288709,17.8341111020993,23.1605696550461,11.8852920408857
9,51.9316672508249,18.2479775063746,17.2714109293,12.1260601146016
10,53.3654959812232,24.9660386597622,10.9917149127272,10.1917110869252
