"ethnicity_hhh","1","2","3","4","5"
"1",0.0869026878172019,0.0901120963965224,0.0916084691825338,0.0962634236965216,0.109421961576889
"2",0.0786577733790216,0.0852000851484815,0.0908704345676752,0.099264119115949,0.105384744590598
"3",0.0671853571426001,0.132589740634836,0.119509545044343,0.139087285058791,0.119526535960497
"4",0.0432520974503376,0.100000252792106,0.1430225647774,0.126746448388901,0.133301051853734
