hh_id,exp_LCU_Electricity,exp_LCU_Petrol,exp_LCU_Firewood,exp_LCU_Gas,exp_LCU_Biomass,exp_LCU_Diesel,exp_LCU_Coal,hh_expenditures_LCU
19266,3601.55923494797,NA,NA,NA,NA,NA,NA,57687.64493259635
19267,NA,657.022301105404,NA,NA,NA,NA,NA,17932.606492265124
19268,1199.43047433427,NA,NA,NA,NA,NA,NA,35032.844232865384
19269,1199.43047433427,8656.53851195133,NA,NA,NA,NA,NA,50594.56231992748
19270,1199.43047433427,NA,NA,NA,NA,NA,NA,6039.4222015665055
19271,1199.43047433427,NA,NA,NA,NA,NA,NA,58463.475339697055
19272,4797.72189733706,NA,NA,NA,NA,NA,NA,118674.6289769469
19273,1199.43047433427,NA,NA,NA,NA,NA,NA,46831.32962361733
19274,1199.43047433427,NA,NA,NA,NA,NA,NA,17617.249608863884
19275,2398.86094866853,16968.031103563375,NA,NA,NA,NA,NA,79083.81000693541
19276,1199.43047433427,12257.503065857729,NA,NA,NA,NA,NA,98424.51022916548
19277,1199.43047433427,NA,NA,NA,NA,NA,NA,20545.295041819303
19278,1199.43047433427,NA,NA,NA,NA,NA,NA,13890.42312958111
19279,1199.43047433427,NA,NA,NA,NA,NA,NA,28382.148217129918
19280,1092.30611436164,NA,NA,NA,NA,NA,NA,27716.537187530976
19281,1079.4632236262,NA,NA,NA,NA,NA,NA,13152.606272060088
19282,2158.9264472524,NA,NA,NA,NA,NA,NA,19378.6620632151
19283,1079.4632236262,NA,NA,NA,NA,NA,NA,13926.1172328099
19284,4317.8528945048,NA,NA,NA,NA,NA,NA,50548.845813685206
19285,2158.9264472524,NA,NA,NA,NA,NA,NA,30138.828469155225
19286,1079.4632236262,NA,NA,NA,NA,NA,NA,23127.816036886416
19287,1079.4632236262,NA,NA,NA,NA,NA,NA,22066.925773305153
19288,4317.8528945048,NA,NA,NA,NA,NA,NA,34001.55044476984
19289,3236.59043985338,NA,NA,NA,NA,NA,NA,39677.3609505235
19290,4315.45391980451,8679.51470038062,NA,NA,NA,NA,NA,23679.322254311257
19291,1078.86347995113,NA,NA,NA,NA,NA,NA,64680.00227420745
19292,1078.86347995113,NA,NA,NA,NA,NA,NA,10597.387913300932
19293,2157.72695990225,NA,NA,NA,NA,NA,NA,43628.191434617715
19294,1078.86347995113,NA,NA,NA,NA,NA,NA,30788.74480338386
19295,2157.72695990225,NA,NA,NA,NA,NA,NA,31900.93813003721
19296,2157.72695990225,NA,NA,NA,NA,NA,NA,18918.01519574627
19297,2697.15869987782,NA,NA,NA,NA,NA,NA,54859.442036652705
19298,1078.86347995113,NA,NA,NA,NA,NA,NA,29755.9930134668
19299,3236.59043985338,NA,NA,NA,NA,NA,NA,24289.885225291986
19300,2157.72695990225,NA,NA,NA,NA,NA,NA,29765.40869859469
19301,1078.86347995113,NA,NA,NA,NA,NA,NA,27617.59446402071
19302,3236.59043985338,NA,NA,NA,NA,NA,NA,35106.664435651845
19303,2157.72695990225,NA,NA,NA,NA,NA,NA,72004.80706265687
19304,3776.02217982894,2973.9857974135693,NA,NA,NA,NA,NA,45292.41665436786
19305,2697.15869987782,NA,NA,NA,NA,NA,NA,39502.250891139105
19306,2157.72695990225,NA,NA,NA,NA,NA,NA,25032.67075666769
19307,2157.72695990225,NA,NA,NA,NA,NA,NA,10665.1721456245
19308,3238.3896708786,NA,NA,NA,NA,NA,NA,33607.02399492471
19309,2158.9264472524,NA,NA,NA,NA,NA,NA,38780.598408343045
19310,1079.4632236262,NA,NA,NA,NA,NA,NA,7234.13330386742
19311,1079.4632236262,NA,NA,NA,NA,NA,NA,42951.575074817425
19312,1079.4632236262,NA,NA,NA,NA,NA,NA,16353.42101515453
19313,1079.4632236262,703.543125955075,NA,NA,NA,NA,NA,23582.305636509816
19314,2158.9264472524,NA,NA,NA,NA,NA,NA,48382.02182830372
19315,1079.4632236262,NA,NA,NA,NA,NA,NA,25578.12493320558
19316,1079.4632236262,NA,NA,NA,NA,NA,NA,25174.055629468883
19317,1079.4632236262,NA,NA,NA,NA,NA,NA,28379.74668330637
19318,1079.4632236262,1356.83317148479,NA,NA,NA,NA,NA,12738.086263889953
19319,1197.56863899707,NA,NA,NA,NA,NA,NA,17802.24567612018
19320,2395.13727799415,NA,NA,NA,NA,NA,NA,28379.695803794224
19321,1197.56863899707,NA,NA,NA,NA,NA,NA,17507.58559378063
19322,4790.27455598829,19624.28687207125,NA,NA,NA,NA,NA,87329.80240795416
19323,2993.92159749268,NA,NA,NA,NA,NA,NA,46574.22369307007
19324,2395.13727799415,NA,NA,NA,NA,NA,NA,43702.43467531242
19325,2395.13727799415,9572.82286442502,NA,NA,NA,NA,NA,88513.75558784735
19326,2395.13727799415,NA,NA,NA,NA,NA,NA,60709.86629412776
19327,1197.56863899707,NA,NA,NA,NA,NA,NA,21375.94261584016
19328,1197.56863899707,7410.256115130266,NA,NA,NA,NA,NA,53132.597600311514
19329,2266.87276961502,NA,NA,NA,NA,NA,NA,29370.70751130121
19330,2266.87276961502,NA,NA,NA,NA,NA,NA,31518.229169678045
19331,1079.4632236262,NA,NA,NA,NA,NA,NA,25538.31884214717
19332,1079.4632236262,854.302367231163,NA,NA,NA,NA,NA,35537.788792540465
19333,4317.8528945048,11764.48243300388,NA,NA,NA,NA,NA,69634.95659456655
19334,2266.87276961502,NA,NA,NA,NA,NA,NA,104555.37547982743
19335,2266.87276961502,NA,NA,NA,NA,NA,NA,10748.91064149264
19336,2266.87276961502,NA,NA,NA,NA,NA,NA,19564.97254731034
19337,2993.92159749268,4786.41143221251,NA,NA,NA,NA,NA,124357.0913471984
19338,1197.56863899707,NA,NA,NA,NA,NA,NA,11135.973868691477
19339,1197.56863899707,NA,NA,NA,NA,NA,NA,33063.7504168631
19340,2395.13727799415,NA,NA,NA,NA,NA,NA,38117.64642242471
19341,1197.56863899707,NA,NA,NA,NA,NA,NA,39485.13981051011
19342,1197.56863899707,NA,NA,NA,NA,NA,NA,34120.05926064481
19343,1197.56863899707,NA,NA,NA,NA,NA,NA,11724.961266442007
19344,2395.13727799415,7179.617148318761,NA,NA,NA,NA,NA,188845.98468421883
19345,1200,NA,NA,NA,NA,NA,NA,11262
19346,1200,NA,NA,NA,NA,NA,NA,17473
19347,1200,NA,NA,NA,NA,NA,NA,20755.54
19348,1200,NA,NA,NA,NA,NA,NA,16163.30363636364
19349,1200,3400,NA,NA,NA,NA,NA,47272.74588235294
19350,3600,NA,NA,NA,NA,NA,NA,15272.6
19351,3000,15000,NA,NA,NA,NA,NA,221778.2067302634
19352,3600,9480,NA,NA,NA,NA,NA,85049.64363636365
19353,1200,NA,NA,NA,NA,NA,NA,25993.62
19354,1200,NA,NA,NA,NA,NA,NA,47994.82
19355,2158.1249470204302,NA,NA,NA,NA,NA,NA,18458.611105302196
19356,1079.06247351022,1369.06283138663,NA,NA,NA,NA,NA,22170.228604185235
19357,1079.06247351022,NA,NA,NA,NA,NA,NA,10061.587850237753
19358,1079.06247351022,NA,NA,NA,NA,NA,NA,5041.678344288206
19359,3237.18742053065,NA,NA,NA,NA,NA,NA,24951.2839160442
19360,1079.06247351022,NA,NA,NA,NA,NA,NA,3890.443297627116
19361,2158.1249470204302,NA,NA,NA,NA,NA,NA,91693.62727801075
19362,1079.06247351022,NA,NA,NA,NA,NA,NA,18499.86272339056
19363,2697.65618377554,NA,NA,NA,NA,NA,NA,15650.73416839545
19364,1200,NA,NA,NA,NA,NA,NA,31706.12903225807
19365,2400,NA,NA,NA,NA,NA,NA,20873.61082497516
19366,4200,NA,NA,NA,NA,NA,NA,49532.6
19367,4800,NA,NA,NA,NA,NA,NA,68638
19368,2400,5000,NA,NA,NA,NA,NA,63745.42903225807
19369,4800,7700,NA,NA,NA,NA,NA,88826.04014344161
19370,1200,NA,NA,NA,NA,NA,NA,64399.14
19371,4800,NA,NA,NA,NA,NA,NA,76601.9404837147
19372,1200,NA,NA,NA,NA,NA,NA,19211.44125000836
