hh_id,hh_size,hh_weights,province,urban_1,electricitycon,electricitymains,electricitysource,electricityfree,cookingsource,lightingsource,heatingsourcewater,heatingsourcespace,income,consumption,education_hhh,own_stove,own_vehicle,gender_hhh,ethnicity_hhh
60,8,404.30843136,1,1,1,1,8,2,1,1,1,11,57807.25,44426.531601,11,1,3,1,2
61,3,315.58349368,1,1,1,1,8,2,1,1,1,11,201684,242916.1,13,1,1,1,2
62,2,490.85054798,1,1,1,1,8,2,1,1,1,11,133203.89309,124011.86966,25,1,1,1,2
63,5,490.85054798,1,1,1,1,8,2,1,1,1,11,916202.49579,499731.77401,29,1,1,1,2
64,1,512.60999202,1,1,1,1,8,2,1,1,1,11,293382.15092,202108.48284,27,1,1,1,4
65,2,512.60999202,1,1,1,1,8,2,1,1,1,11,182556.43846,84899.623313,11,1,3,1,4
66,5,607.41872789,1,1,1,1,8,2,1,1,1,11,150542.49587,141308.39237,11,1,1,1,4
67,3,709.13030348,1,1,1,1,8,2,1,1,1,11,1421674.7442,1041228.821,27,1,1,1,4
68,2,628.43958122,1,1,1,1,8,2,1,1,1,11,37478.037856,54497.869948,13,1,3,2,2
69,4,628.85106181,1,1,1,1,8,2,1,1,1,11,591397.54944,290232.56592,23,1,1,1,2
70,4,365.28488694,1,1,1,1,8,2,1,1,1,1,378473.36577,232491.629,9,9,9,2,2
71,2,433.59245326,1,1,1,1,8,2,1,1,1,1,606684.79976,486229.76884,24,1,1,1,2
72,4,433.30873762,1,1,1,1,8,1,1,1,1,1,143492.03863,102351.32545,9,1,1,2,2
73,2,433.59245326,1,1,1,1,8,2,1,1,1,1,164941.78568,159433.82939,13,1,1,1,2
74,2,433.30873762,1,1,1,1,8,2,1,1,1,1,329626.44247,192738.48066,24,1,3,2,2
75,3,590.79343134,1,1,1,1,8,2,1,1,1,1,49359.743105,43583.444134,13,1,3,2,2
76,8,485.69140413,1,1,1,1,8,1,1,1,1,1,127564.18005,86677.172377,13,1,1,1,2
77,6,338.44117663,1,1,1,1,8,1,1,1,1,1,144963.8388,102013.61359,11,1,3,1,2
78,2,589.4282713,1,1,1,1,8,1,1,1,1,11,63956.25,222380.47,13,1,1,2,2
79,4,509.49980629,1,1,1,1,8,1,1,1,1,11,101226.25,62896.25,11,1,1,1,2
80,3,355.03143039,1,1,1,1,8,2,1,1,1,11,59156.25,96282.33,7,1,1,1,2
81,5,454.84698528,1,1,1,1,8,2,1,1,1,1,130320,130199.03395,13,1,1,1,2
82,5,454.84698528,1,1,1,1,8,1,1,1,1,1,83176.25,66588.89,23,1,1,1,2
83,6,454.54936202,1,1,1,1,8,1,1,1,1,11,78036.25,80440.37,10,1,3,2,2
84,6,454.84698528,1,1,1,1,8,2,1,1,1,1,281914.75,159097.59,11,1,1,1,2
85,5,355.03143039,1,1,1,1,8,1,1,1,1,11,352470.25,149249.93,8,1,3,1,2
86,2,394.4793671,1,1,1,1,8,1,3,1,1,1,85103.385843,131234.10183,11,1,1,1,2
87,4,505.3855392,1,1,1,1,8,2,1,1,1,1,714029.36524,197116.17395,13,1,1,1,2
88,6,505.3855392,1,1,1,1,8,2,1,1,1,11,240031.193,165944.07259,13,1,3,1,2
89,4,505.3855392,1,1,1,1,8,2,1,7,1,1,356802.5342,214030.99523,18,1,1,1,2
90,3,505.3855392,1,1,1,1,8,2,1,1,1,1,45871.93789,314956.74978,13,1,1,1,2
91,3,505.3855392,1,1,1,1,8,2,1,1,1,1,383748.09053,201735.66974,24,1,1,1,2
92,5,394.4793671,1,1,1,1,8,2,1,1,1,1,376838.04005,178642.54007,10,1,1,1,2
93,4,663.69455188,1,1,1,1,8,2,1,1,1,1,87192.085942,211114.12195,24,1,1,1,1
94,2,959.50075429,1,1,1,1,8,2,1,1,1,1,181863.8706,708485.2093,27,1,1,1,4
95,1,2065.3352645,1,1,1,1,8,2,1,1,1,1,368308.57502,256000.32123,27,1,1,2,4
96,4,404.30843136,1,1,1,2,1,2,1,1,1,1,10761.073243,19425.383052,7,1,3,1,2
97,4,315.58349368,1,1,2,8,8,8,3,7,3,5,36378.105146,33110.884517,4,1,3,1,2
98,2,523.93624116,1,1,1,1,8,1,1,1,1,1,40320.153372,18548.859948,11,1,3,2,2
99,5,452.8887167,1,1,1,2,1,2,1,1,1,1,39891.140261,26973.198975,12,1,3,1,2
100,2,404.04387735,1,1,1,1,8,1,1,1,1,1,46347.923003,47452.967337,8,1,3,2,2
101,4,404.04387735,1,1,1,1,8,2,1,1,1,1,54478.072089,43329.329804,10,1,3,2,2
102,5,375.14837993,1,1,1,1,8,2,1,1,1,1,134548.56361,111255.2291,98,1,1,1,2
103,5,637.09207366,1,1,1,1,8,2,1,1,1,1,141739.58212,42878.53219,8,1,3,1,2
104,2,718.42336442,1,1,1,1,8,2,3,1,1,1,131677.62476,157697.96505,13,1,1,1,4
105,3,825.59650122,1,1,1,1,8,2,1,1,1,1,71814.350789,50039.613351,11,1,3,2,2
106,7,672.88592925,1,1,1,1,8,2,1,1,1,1,81310.88953,67675.224696,5,1,3,1,1
107,4,1331.7344952,1,1,1,1,8,2,1,1,1,1,51170.055823,60676.894629,9,1,3,1,2
108,4,1331.7344952,1,1,1,1,8,2,1,1,1,11,137693.51788,136526.24454,13,1,2,1,2
109,5,927.98387141,1,1,1,1,8,2,1,1,1,1,103233.76165,57054.117532,4,1,3,1,2
110,11,927.98387141,1,1,1,1,8,2,1,1,1,11,151995.56921,112050.26582,11,1,1,1,2
111,2,1188.1046032,1,1,1,1,8,2,1,1,1,11,26855.621239,28123.7847,8,1,3,2,2
