"Income_Group_5","gender_hhh","y5","y25","y50","y75","y95","mean"
1,"1",0.0247890103291324,0.0455202016644585,0.063444351687777,0.090095509993092,0.153293706708329,0.0728910351010535
1,"2",0.026350566052126,0.0479024330474281,0.0641396670096781,0.0888507646680308,0.142411076544087,0.0724548566739505
2,"1",0.0250822444221815,0.0433521259413281,0.0594724422967746,0.0849433755633637,0.137554612604358,0.0677693645756546
2,"2",0.0275124811043542,0.0437505033684744,0.0560679087955197,0.0766865488324752,0.121136532104946,0.0644011892033459
3,"1",0.024788318093134,0.0429776229172308,0.0593916026357159,0.0782889508285833,0.135159718056789,0.0660357870943356
3,"2",0.028442756392682,0.0417909082480198,0.0556436096141734,0.0737921572681216,0.130715859135422,0.0634456542570127
4,"1",0.0264378988559443,0.0433044728651571,0.0559613515266455,0.0765401407488723,0.128782691450147,0.0636884069823227
4,"2",0.0258326898277192,0.040608066839172,0.0539637862547069,0.0730831851995163,0.12642689514188,0.0620251147777256
5,"1",0.0274089204871214,0.0377834352922714,0.0475662714153465,0.0623325322221174,0.0965488226958129,0.053190203256753
5,"2",0.0263460106366003,0.0364201223620819,0.0468979131477831,0.0609915343596148,0.0913074592358315,0.0514495511502127
