"Income_Group_10","mean"
1,0.0764767306668399
2,0.068808801464307
3,0.0666921574723643
4,0.0656320774956569
5,0.0651735626755239
6,0.0648978998988676
7,0.0634519994300525
8,0.0628184103430955
9,0.0580762551496451
10,0.0472355359017423
