"Income_Group_10","mean_hh_expendituresUSD"
1,1485.09374933039
2,2299.964814819
3,2830.39227630512
4,3364.32500429534
5,3895.3174050069
6,4639.514291731
7,6161.91653632381
8,8458.65361026757
9,13443.5652392067
10,27143.6990381006
