"Income_Group_5","y5","y25","y50","y75","y95","mean","category"
1,0.0053535631531285,0.00727169924442263,0.00988869021488276,0.0143318709691786,0.0270174243478149,0.0124062002508921,"burden_CO2_transport"
1,0.0111561407313967,0.031216869828362,0.0468410996500253,0.0703563397776576,0.128231670934843,0.0549324334752899,"burden_CO2_electricity"
1,0.0254628442231833,0.0470202822313652,0.0638790457534985,0.0893173939893114,0.147485687241191,0.0726423083800869,"burden_CO2_national"
2,0.00513922143549337,0.00716272871572553,0.0100939675675373,0.0148605632687121,0.0307726165691623,0.0128970497311377,"burden_CO2_transport"
2,0.0110565236165516,0.0273905571852393,0.0393591406997348,0.060808127622367,0.109652905930892,0.0480347968418522,"burden_CO2_electricity"
2,0.0261750055888644,0.0434656943961236,0.0577198089302313,0.080639479196759,0.131783930791788,0.0661622671904101,"burden_CO2_national"
3,0.00484975331155057,0.0073199461965943,0.0104007757165059,0.0160773064150262,0.0359993761095188,0.0138660777352408,"burden_CO2_transport"
3,0.0112499549969262,0.0258233044557174,0.0387871988022401,0.0550495952276541,0.107422905049286,0.0463013487072793,"burden_CO2_electricity"
3,0.0262172355135439,0.0426036617994425,0.0576985705961007,0.0763440820033495,0.132319386488577,0.0650357045153861,"burden_CO2_national"
4,0.00440905298110364,0.00729916158009106,0.011137858640653,0.018594998071766,0.0375261411158934,0.0147591185660623,"burden_CO2_transport"
4,0.0121089330584652,0.0258445027341679,0.035126213648465,0.0533574596086457,0.103996690213811,0.0437996390679539,"burden_CO2_electricity"
4,0.0260731084990801,0.0422312009975194,0.0551635020127542,0.0755133202527071,0.127418526586583,0.0631351405672398,"burden_CO2_national"
5,0.00469611402847816,0.00809600406470066,0.0120964162558939,0.0179004153229611,0.0328443903795983,0.014543939565125,"burden_CO2_transport"
5,0.0141445984336685,0.0206879888572216,0.0276596403506107,0.0397176413790352,0.0714850918001664,0.0336447432554789,"burden_CO2_electricity"
5,0.0272144062785614,0.0372863291624518,0.0472431562830945,0.0619371611605926,0.0956145911198143,0.0526651080624197,"burden_CO2_national"
