"Income_Group_10","t_national"
1,3.4262723834442
2,4.85774876673049
3,5.77704509875193
4,6.77701600205235
5,7.87258506336886
6,9.45787573363913
7,12.1562933909727
8,16.3554124845947
9,24.08801673972
10,39.3962024339276
